18:05:09.568 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 205365
18:05:09.637 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 206333
18:05:09.707 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 207288
18:05:09.779 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 208277
18:05:09.851 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 209273
18:14:33.019 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 320737
18:14:33.097 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 326502
18:14:33.168 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 327400
18:14:33.237 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 328308
18:14:33.304 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 329208
18:18:23.122 [http-nio-9001-exec-4] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 97581
